,Air Temperature,Wind Speed,Humidity,Wet Bulb Temperature,Total Rain,wind_speed_squared,Wind Direction
Air Temperature,1.0,-0.1905840753997131,0.013853985107710229,0.7181688070779981,0.41064889573362573,-0.17152999208550176,-0.12392122067428343
Wind Speed,-0.1905840753997131,1.0,-0.00035301239648303064,-0.1292357589513046,-0.15832909378653776,0.9631120772626127,-0.11262936478546219
Humidity,0.013853985107710229,-0.00035301239648303064,1.0,0.09455284396253805,0.07616648857333895,0.02690552622373671,-0.1341791310259625
Wet Bulb Temperature,0.7181688070779981,-0.1292357589513046,0.09455284396253805,1.0,0.5507825844123391,-0.12176074837568347,-0.19150928613549711
Total Rain,0.41064889573362573,-0.15832909378653776,0.07616648857333895,0.5507825844123391,1.0,-0.14654203757280562,-0.023391954328905944
wind_speed_squared,-0.17152999208550176,0.9631120772626127,0.02690552622373671,-0.12176074837568347,-0.14654203757280562,1.0,-0.06472870032293772
Wind Direction,-0.12392122067428343,-0.11262936478546219,-0.1341791310259625,-0.19150928613549711,-0.023391954328905944,-0.06472870032293772,1.0
